volume,price,open,high,low,close,times,Prediction_Result
41947162,9791147799,233.0,234.5,231.0,234.0,12545,0
45634576,10316394736,226.5,227.5,225.0,226.0,15703,1
40181112,8853295746,220.0,222.0,219.5,220.0,15702,0
31997568,7097739916,222.5,223.5,220.5,221.0,8315,0
26229461,5744814170,219.5,220.0,218.5,219.0,8650,1
27395220,6067551383,220.0,223.0,219.0,222.5,8509,0
32926379,7418108779,223.5,227.0,222.5,226.5,9117,0
32433141,7345479366,227.0,227.5,225.0,226.0,8635,0
43226159,9570070114,223.0,223.5,220.5,222.5,10454,0
18964952,4229977248,221.0,225.0,220.0,223.5,6449,0
30270541,6713448829,221.0,223.0,220.5,222.5,10521,1
23415082,5255393450,222.0,225.5,222.0,225.5,7875,1
38697116,8573665030,221.0,222.5,221.0,221.0,10528,0
46947532,10401202852,219.0,224.0,219.0,223.5,9554,1
5185247,1145814834,220.0,221.5,220.0,221.5,2229,1
23376100,5151549100,221.5,221.5,219.5,220.0,6122,1
19402777,4198767163,215.5,218.0,215.0,217.5,8065,1
16893259,3678108462,218.5,219.5,216.0,216.5,6998,0
21915484,4874845852,222.0,224.0,220.5,223.0,9531,0
30156773,6762447425,223.5,225.5,222.5,225.5,10247,0
32900482,7276419230,226.5,226.5,219.0,219.5,12329,1
34615620,7459051790,214.0,218.0,214.0,215.5,14549,1
67043521,13987136785,211.5,211.5,206.5,208.0,28786,0
35695176,7591116569,212.0,214.0,211.0,213.0,11224,0
23794481,5019703557,212.0,212.5,210.0,211.0,9377,0
51255446,11006827093,212.0,216.5,211.0,215.5,14098,0
20832593,4491377349,216.0,216.5,214.5,216.0,6018,1
28658288,6296719320,219.0,220.5,218.0,220.5,11198,1
17612296,3844735324,218.5,220.0,217.0,218.5,6469,0
42990923,9399209983,216.5,221.0,215.5,221.0,11609,0
30038282,6563789758,218.5,220.0,217.5,217.5,8950,1
21163986,4646131841,218.0,221.0,218.0,220.5,8288,1
52677569,11530053787,219.0,220.0,217.5,218.5,15157,0
32515866,7208829658,220.0,223.0,220.0,221.0,10549,1
30958483,6854867566,220.0,223.0,219.0,223.0,8258,0
18671213,4121110926,221.5,222.0,220.0,220.5,7059,0
31348924,6958753608,222.5,222.5,220.5,222.5,6291,0
48039764,10870045150,226.5,227.0,225.0,226.0,14979,0
29134257,6665379096,229.5,229.5,228.0,229.0,10189,1
42566520,9486156460,222.5,225.0,222.0,222.5,13344,0
51889945,11453957730,220.5,221.5,220.0,221.0,12858,0
81360106,18546167132,228.0,229.0,226.5,228.0,21689,0
30125670,6921488930,230.0,230.0,229.0,230.0,13313,0
28634925,6575201825,232.0,232.0,228.5,229.0,10230,1
23647751,5392943977,229.5,230.0,226.0,227.0,6873,1
22369799,5093773373,229.0,229.0,226.5,227.0,5743,1
18163916,4169729625,229.0,230.5,228.5,230.0,7035,1
18423023,4228108427,230.0,230.5,229.0,229.0,6471,0
31887710,7430197670,231.5,234.5,231.0,234.5,14241,1
34013489,8013908284,235.5,236.5,234.5,236.5,11443,0
22032163,5187054985,235.5,236.5,234.0,236.5,6913,1
25227138,5995746054,237.5,239.0,236.0,238.0,8527,1
24586789,5864298571,239.0,240.0,236.5,239.5,7994,1
37947889,9052540803,238.5,239.5,237.0,239.0,9931,1
45164513,10691130829,239.5,239.5,234.5,235.5,13323,1
23708407,5533050748,234.0,234.5,232.5,233.0,8706,1
20811226,4872352124,235.0,235.5,233.5,234.0,7090,1
17226192,4029782428,235.0,235.0,233.0,234.0,5768,0
22535659,5183171608,231.0,231.5,229.0,230.0,8931,1
34282793,7835079913,228.0,230.5,227.5,230.5,7451,0
23839972,5601351324,233.0,237.0,232.5,235.5,9253,1
22493195,5308051755,234.0,237.0,234.0,237.0,6269,1
17281356,4077045380,239.0,239.0,234.0,234.5,6564,0
34542729,8231572752,237.0,239.5,235.5,239.0,8872,0
27040532,6493129050,239.5,241.0,239.0,241.0,10690,1
14620009,3496720720,239.0,240.5,238.0,240.5,7105,1
23055971,5563557011,242.0,242.0,239.5,242.0,6757,1
27514502,6710510004,242.5,245.5,241.0,245.5,11071,1
22996467,5680726299,248.0,248.5,244.5,248.5,10485,0
19273254,4662705968,240.5,243.5,240.5,241.5,8468,1
21053170,5109273236,243.0,244.0,241.0,244.0,6630,1
23622089,5703467700,242.0,242.5,240.5,241.5,7603,1
13998054,3379510718,240.5,242.5,240.0,242.0,3948,0
31024810,7568601014,243.0,245.5,240.5,245.5,6712,1
35330656,8758161220,251.0,251.0,245.0,245.5,13292,1
25189053,6226523038,249.5,249.5,246.0,246.0,9171,0
28581323,7075597562,249.0,249.0,246.5,246.5,8067,0
46426821,11682512762,251.0,253.0,250.5,253.0,16430,1
22745674,5760337782,253.0,254.0,252.0,254.0,8323,0
33174934,8403528302,253.0,254.5,252.0,254.0,9992,0
25146840,6347861680,253.0,254.0,251.5,252.0,8284,0
13888148,3496444666,251.5,253.0,251.0,252.0,4931,0
17257002,4403988510,255.0,256.0,254.0,255.5,6739,1
20231648,5185697928,257.0,257.0,255.5,257.0,7676,0
39037191,10202504410,260.0,263.0,259.5,261.5,13486,1
48525490,12836006732,264.0,266.0,263.5,264.5,12208,0
47698699,12712409558,269.0,269.5,263.5,264.5,14431,0
24967393,6635995145,266.5,267.5,265.0,266.0,8527,0
26251847,7017363629,266.5,268.0,266.0,268.0,9394,0
37386755,10044241090,270.0,270.0,267.5,269.0,9687,1
36572455,9800038536,268.5,269.0,267.0,267.5,7331,0
51743804,13459329059,262.0,263.0,257.5,260.0,16674,1
32651618,8477117257,260.0,262.0,258.5,259.5,10407,1
40446419,10484399861,260.0,260.5,258.0,259.0,10939,0
27376394,7122135656,261.5,262.5,258.5,259.0,9110,0
30200246,7940572444,262.0,265.0,260.5,265.0,10068,1
33688187,8717053470,260.0,260.0,258.0,259.0,12535,1
25686126,6719199455,259.5,263.0,259.0,262.5,8339,0
25902364,6750083504,260.0,261.5,259.5,260.0,7905,0
34166574,8798140796,259.5,259.5,256.0,256.5,10995,0
18868212,4844594484,257.0,259.0,255.0,256.0,8009,0
29317535,7374249589,253.0,254.0,249.5,250.5,11974,1
45620708,11345067455,247.5,251.0,245.0,248.5,14283,1
37223479,9327051888,251.0,252.0,249.0,249.0,12041,1
30331519,7520908612,248.5,249.5,246.0,247.0,11402,1
40006856,9775372898,249.0,249.0,241.5,241.5,15217,0
47097661,11303513908,242.5,243.0,238.0,238.0,13099,0
82872775,19418705158,233.5,236.0,232.5,234.0,25418,1
36289034,8669172710,236.5,240.5,235.5,238.0,14019,1
62258627,14379543985,233.5,233.5,230.0,230.0,24974,0
38226789,8866253632,230.0,234.0,230.0,233.0,14586,1
37447033,8697538216,234.0,235.0,231.0,231.0,13895,1
99322033,22910765567,232.0,232.0,230.5,230.5,10122,0
32260236,7385029780,228.0,230.5,227.0,229.5,10233,0
40375328,9292745636,230.0,231.5,229.0,231.0,8772,0
49163217,11559578381,232.0,237.5,231.0,235.5,14365,1
36687092,8651389851,235.5,238.5,232.0,238.0,8857,1
24443428,5745045809,237.5,238.0,233.0,233.0,11779,0
35901584,8461930934,238.0,238.0,234.0,235.0,12064,1
34651731,8008768323,231.5,232.0,229.5,232.0,14723,0
35521888,8442986620,237.5,240.0,234.5,240.0,15588,1
34691670,8448805962,240.0,246.0,239.0,244.5,13157,1
30409556,7469805086,244.5,247.5,243.0,246.0,11457,1
33731724,8136137708,242.5,244.0,240.0,240.0,13552,1
35403556,8396819832,238.5,239.5,236.0,236.0,14911,1
51692012,12043369475,231.5,235.0,230.5,233.0,20943,1
28798087,6758454612,234.0,235.5,233.0,235.5,9681,1
50234372,12181979568,242.5,244.0,240.5,244.0,20528,1
39717291,9697726719,242.0,245.5,241.0,245.0,13879,0
62136304,15398139830,248.0,248.5,246.0,248.5,19049,1
43460507,10476936660,241.0,242.0,240.0,241.0,17780,1
29735283,7118002390,241.0,241.5,237.0,238.5,11130,1
28770041,6757991717,235.0,236.5,234.0,234.5,13535,1
42007834,10063332494,236.0,241.5,236.0,240.5,14983,0
28085212,6715488371,241.5,241.5,238.0,239.0,8987,1
66370875,16445222750,245.5,250.0,245.0,248.5,29551,1
26832202,6671951743,249.5,250.0,247.5,249.0,12531,0
29549774,7190777082,244.0,245.0,242.0,242.5,16033,1
18691240,4561556160,244.5,245.0,242.5,244.0,8565,0
27317074,6624379927,244.5,245.0,241.5,243.0,9013,0
29190909,7057462187,240.0,244.5,240.0,242.5,10552,1
16538987,3998096596,241.5,243.0,240.5,242.0,6486,0
23812131,5839691357,243.0,247.0,243.0,247.0,12366,0
31296289,7809358257,250.0,250.0,247.5,250.0,14360,1
23868432,5984689000,252.0,252.0,249.5,250.5,8363,0
34264300,8663129910,251.0,254.5,249.5,254.5,12174,1
26141249,6678755679,254.0,256.5,253.5,256.0,8994,0
34346648,8686815824,254.0,254.0,251.0,252.0,11106,0
20908575,5300082470,252.0,254.5,251.5,254.0,8245,0
59879798,15573278932,259.5,261.0,259.0,259.0,21827,1
31863639,8385222407,263.0,264.0,262.0,264.0,13424,1
29273223,7734089131,265.5,266.5,262.5,264.0,12791,1
24511039,6484708226,266.5,266.5,263.0,265.0,10617,0
30698545,8091922380,264.0,265.0,261.5,265.0,10643,1
20768071,5434082968,261.0,262.5,261.0,261.0,8850,0
18473320,4822762518,260.0,262.0,259.5,261.0,6681,0
22895612,5975389270,262.5,263.0,260.0,260.0,7191,0
36365601,9413416604,260.0,260.0,257.0,259.5,10468,0
30107526,7722031382,257.5,257.5,255.5,256.5,11372,0
54165644,13627068452,252.0,253.5,250.5,251.5,18096,1
52835721,13092403583,251.0,252.0,245.5,246.5,20136,1
58916879,14440787992,240.0,250.0,240.0,248.5,22358,1
29435460,7305272500,250.0,250.5,246.5,248.0,11208,1
30140266,7599200564,248.0,254.0,248.0,253.5,11228,1
24732603,6242935989,254.5,254.5,251.0,251.0,8415,0
25045107,6204239476,249.0,249.5,246.5,246.5,11377,0
36336703,9142333535,252.5,254.0,249.5,249.5,13609,1
28277412,6994442633,247.0,248.5,246.0,248.0,10852,1
25696715,6420744887,249.5,252.0,248.0,250.0,8994,0
25098514,6326683127,251.5,253.0,250.5,252.0,9398,0
20620494,5233263533,254.0,254.5,252.5,254.5,8214,0
20269296,5152545480,254.5,255.0,253.0,254.5,7383,0
22136840,5659296700,257.0,257.5,254.0,254.0,8794,0
14772877,3748071178,253.5,254.5,253.0,254.0,5663,0
31740620,7910873500,249.0,250.5,248.5,248.5,13388,1
53664951,13410582151,250.5,251.0,248.5,250.0,8939,1
15280882,3852096070,250.5,253.0,250.5,252.0,6829,1
20085767,5078703588,253.0,254.0,251.0,254.0,6596,0
35299201,9092482858,256.5,259.0,256.0,259.0,13703,1
14776854,3800453292,258.0,258.0,256.0,257.5,7608,0
26086495,6642868555,256.5,258.0,253.0,254.0,11210,0
23697733,6081456520,254.0,258.0,254.0,257.5,9291,0
49041728,12869665251,263.0,263.0,260.5,263.0,22796,0
26609515,7016868801,265.0,265.0,263.0,263.5,11957,1
17317833,4585545966,265.5,266.0,263.5,265.0,8762,0
30019866,7862297242,263.5,264.0,260.5,261.5,11831,1
36266015,9508884445,264.0,264.5,260.5,263.0,12058,0
38792293,10198483555,265.0,265.0,261.5,262.5,8282,0
38913966,10258240252,262.0,265.5,261.5,265.5,11120,1
30069844,7979032930,266.5,266.5,264.5,265.0,9222,0
51360759,13754334364,267.0,269.5,266.5,267.0,17993,1
27165567,7216457755,268.0,268.0,264.0,265.0,10194,1
44555865,11785924559,266.0,266.5,264.0,264.0,9109,0
14220208,3749146092,264.0,264.0,263.0,264.0,5647,0
24304943,6419420695,263.5,265.5,262.0,265.0,9180,0
23244163,6144037875,262.5,266.0,262.0,266.0,7145,0
34128103,9139219995,269.0,269.5,266.5,268.0,11861,1
44242817,12021629536,271.5,272.5,271.0,272.0,16626,0
75248890,20886838992,273.0,280.5,273.0,280.0,26648,1
30572953,8553297334,280.0,281.0,279.0,279.5,12294,1
35874864,9891620358,274.0,277.5,274.0,276.5,12853,1
35814613,9924872301,279.5,280.0,275.0,276.5,13780,1
17750230,4944376000,279.0,279.5,277.5,278.0,7757,0
39868551,11341522526,283.5,286.5,282.5,286.5,16721,0
34895456,9890256397,283.5,286.0,282.0,282.0,14567,1
53403517,15508059122,291.5,291.5,288.5,290.0,17812,1
54754830,16088110873,293.5,296.0,292.0,293.5,15485,1
42917144,12670374493,298.0,298.0,293.5,296.5,16650,0
41920938,12296120182,295.0,295.5,292.0,293.5,15170,0
45460984,13299843176,293.0,295.5,291.0,293.0,18000,1
35860365,10389254035,291.0,291.0,288.5,290.0,14682,1
26525020,7767636380,292.5,294.0,291.5,294.0,10186,0
30382408,8877572772,293.5,293.5,290.5,293.0,11753,1
29040827,8488069650,294.5,294.5,291.0,293.0,10649,1
25082711,7362074526,294.5,294.5,292.5,293.5,11064,1
20216561,5958714595,295.0,295.5,294.0,294.5,9257,0
37130131,11044649541,297.0,298.5,296.5,298.5,14060,1
32370342,9646551600,298.5,299.5,296.5,299.5,11084,0
43123514,12921309531,300.0,301.5,298.5,298.5,12997,0
30216678,8998151212,299.5,299.5,296.5,299.0,10241,1
45155671,13767873778,302.5,308.0,301.0,307.0,18475,1
32253184,9965563625,307.5,310.5,307.0,310.5,13698,1
22149743,6864516290,309.0,311.5,308.0,311.0,9660,0
28453659,8769417841,310.0,310.0,306.5,309.0,12277,1
26230542,8040782450,308.5,309.0,305.5,305.5,12740,1
35285583,10660082266,305.0,305.0,300.0,301.0,15246,1
19016708,5774255431,302.5,305.0,302.0,305.0,8957,0
18422438,5583245970,303.0,304.0,301.5,304.0,6039,0
15734835,4776767840,304.5,305.0,302.0,303.5,6219,0
29038445,8891701115,305.5,307.5,304.5,307.0,8672,0
18741325,5796331075,308.5,311.0,307.0,311.0,8420,0
33096197,10365611120,312.5,315.0,311.0,315.0,11121,1
24538973,7681229345,314.0,314.0,312.0,313.5,9143,0
30163833,9329845096,309.5,311.0,307.0,311.0,11638,1
26492984,8188665024,310.0,310.5,308.0,309.0,9407,0
19855177,6133713443,310.5,310.5,307.0,307.0,8067,0
101916622,31332308518,310.0,310.5,307.0,307.0,10321,0
18527648,5732316828,307.5,311.5,307.5,311.0,7916,0
19718982,6111322584,310.0,312.0,308.5,309.5,9289,0
32423561,9922872967,309.0,309.5,305.0,305.0,15368,1
25516807,7844458306,307.0,308.0,306.5,307.5,8465,0
27686319,8472595177,305.0,307.0,305.0,307.0,9206,0
34911686,10652239802,305.0,306.0,304.0,306.0,9989,1
39349842,12240671524,309.0,312.0,309.0,312.0,13587,1
18402703,5771010050,315.0,316.0,311.0,313.0,8974,0
23556081,7433484496,314.0,316.5,314.0,316.0,10583,0
20847594,6540475540,315.0,315.5,312.5,313.5,8702,0
34329148,10866410212,314.0,319.0,313.0,319.0,11689,1
52801851,17446169339,325.0,334.5,324.0,331.5,22555,0
60843939,20697194061,340.0,343.0,338.0,339.0,23025,1
48340188,16272523200,336.5,338.5,336.0,336.0,16938,1
41428458,14153896438,335.0,345.0,335.0,345.0,16808,0
42486841,14594689501,341.5,345.0,341.5,344.5,15836,0
55667012,18774880620,340.0,342.0,335.0,335.0,28105,1
86280459,28483237354,332.0,333.0,328.5,329.0,28112,0
26911340,8923609754,329.5,334.0,329.5,334.0,12310,1
13783907,4591661991,334.0,334.5,332.0,332.0,7887,0
12262954,4075131136,332.0,334.5,331.0,333.0,7597,0
11427884,3803665702,333.0,334.0,331.5,333.0,6439,0
16677806,5624251712,335.0,338.0,335.0,338.0,8660,0
21591263,7270827164,338.0,339.0,334.0,334.5,10468,1
22950517,7614538961,331.0,333.5,331.0,331.0,12253,1
33282120,11224165450,332.5,339.0,332.5,339.0,17160,0
42023268,14295651580,344.0,345.0,335.5,339.5,20545,0
45677057,15210531318,333.0,334.5,332.0,332.0,22944,0
51746181,17053282011,332.5,333.0,326.5,329.5,22362,0
37913748,12484410088,325.0,333.0,325.0,329.5,18228,1
32397504,10890847940,335.0,337.5,333.5,337.5,16793,1
27880115,9432320316,340.5,341.0,336.0,339.5,13296,0
30663332,10455852739,342.0,342.0,339.0,341.5,13457,1
30368993,10488360978,345.5,346.0,344.5,346.0,16339,1
54575274,18590754206,345.0,345.0,337.5,340.0,20392,1
58217420,19431133895,330.0,336.5,330.0,334.5,24721,1
53908097,17977119406,334.0,335.5,332.0,333.0,23954,1
35551203,11865436839,334.0,335.5,333.0,333.0,15095,1
126820049,40734449874,326.0,326.0,316.5,316.5,55603,0
62912055,20205365710,323.0,323.5,319.0,320.0,22639,0
59711849,18782694826,315.0,316.5,312.0,315.0,26483,0
52208496,16882411296,319.0,326.0,318.0,325.0,22587,0
36601453,11985817083,329.0,329.5,324.5,327.5,16656,0
29659094,9803038836,329.5,332.5,329.0,332.5,14246,1
30055327,9869903253,330.0,330.5,326.0,328.0,13075,0
30814424,10024967927,321.5,328.0,321.0,327.5,14825,1
29062935,9629938182,330.5,332.5,330.0,331.5,12766,0
37612639,12593082711,333.5,336.0,333.0,335.0,17394,0
23217021,7805299096,338.0,338.0,335.0,335.0,12563,1
18326683,6155862838,337.0,337.0,334.5,335.0,7881,0
16145079,5354339726,331.5,333.0,330.5,331.5,9747,0
64662604,20957801150,324.5,326.5,322.0,322.0,36520,1
48856218,15881609046,322.5,327.0,322.0,326.5,16003,0
27061736,8832642641,328.0,329.0,325.0,325.5,11695,1
22974534,7463007621,325.5,326.5,323.0,325.0,9342,0
42946680,13754512932,319.5,321.5,319.5,320.0,18902,1
38674011,12425785349,320.0,323.5,317.5,322.0,17366,0
60768362,19341695595,317.0,320.5,316.5,318.5,24310,1
62401927,19756146876,319.0,320.0,315.0,316.0,20633,1
86372942,26864484400,308.0,317.0,308.0,311.0,35320,0
55169411,17534766696,318.5,320.0,316.0,317.5,20713,1
44745146,14304795666,322.0,322.0,317.0,320.5,16118,0
38223525,12392618100,325.0,326.0,323.0,323.0,15107,1
52807760,16733485610,320.0,320.5,315.0,315.0,24175,0
88633277,27236002054,307.5,310.0,305.5,305.5,44882,0
74869130,22727941511,301.5,309.0,301.0,307.0,30268,0
64923710,19913151529,309.0,310.5,302.0,302.0,27176,0
114173351,33544278206,299.0,299.0,287.0,294.0,56989,0
151268148,42448997546,275.0,294.0,272.5,290.0,71990,0
103933228,29343288916,285.0,291.0,275.5,276.5,51292,0
122409651,32936712540,265.0,276.5,265.0,268.0,57123,0
118620643,31555231792,269.5,272.5,260.0,260.0,53985,0
160811697,39559889553,252.0,253.0,235.5,248.0,77302,0
159179726,42110816042,258.5,270.0,256.0,270.0,69829,0
76963709,19851467203,257.0,262.5,252.0,255.0,41621,1
82377933,22207033614,268.0,274.0,266.0,267.5,41077,0
80514199,22368633590,276.5,280.0,274.0,277.0,40932,1
54189633,15108299935,279.5,280.0,275.5,280.0,27648,0
69320306,19324060590,284.0,286.0,273.0,273.0,36025,1
53403956,14205364184,263.5,269.0,262.5,267.5,27779,0
53901923,14712557472,273.0,274.0,269.5,274.0,20343,1
47572034,13022612818,276.5,276.5,271.5,271.5,19580,1
59712754,16324198154,273.0,275.5,270.0,275.5,19971,1
48887346,13817936851,283.5,284.0,280.5,283.0,24281,0
38698826,11016972354,285.0,285.5,283.0,285.0,19126,0
29276430,8346209654,287.5,288.0,282.5,283.0,15271,1
28206858,7894277586,280.0,282.0,279.0,279.5,15833,1
22196596,6202532380,278.5,281.5,278.5,278.5,12809,0
50196688,14268689661,281.0,285.5,280.0,285.0,22214,0
58561434,16819851630,287.0,288.5,286.0,287.5,25696,0
48257280,13813721932,283.0,288.5,283.0,286.5,19084,1
117447201,35719172728,303.5,308.5,300.5,306.5,60873,0
44586860,13605802989,308.0,309.0,302.5,304.0,21791,0
61949357,18417786171,300.5,301.5,293.5,295.0,39043,1
43568580,12746170556,294.5,295.0,290.5,294.0,25176,0
39977278,11864085990,300.0,300.0,294.0,295.5,18541,0
26465090,7799075756,295.5,297.0,294.0,294.0,13661,1
38493406,11461378300,298.0,298.5,296.0,298.0,15916,0
37621165,11134919970,298.5,298.5,294.5,296.5,18214,0
46253301,13861245296,299.0,301.5,298.0,299.0,21633,0
58439085,17753466901,302.0,305.0,301.5,304.5,26219,1
72252861,21341931218,294.5,296.5,294.0,295.0,37736,1
23988405,7104774785,296.5,298.0,295.0,295.5,13569,1
35704479,10524838077,294.5,296.0,292.5,296.0,16046,1
28017198,8321170642,294.5,299.0,294.5,297.5,13149,1
35613893,10619091212,300.0,300.0,296.0,297.5,14345,1
32379019,9729431840,300.0,301.5,298.5,301.0,14920,1
52494788,15553012596,297.5,298.5,295.0,295.0,29073,0
46158418,13619538824,293.0,297.0,292.5,297.0,14555,1
34480948,10119787160,293.0,295.0,292.5,293.0,21482,0
44304804,13170466660,297.5,298.5,294.5,298.0,20071,0
96872065,28216346996,291.0,293.5,290.0,290.0,49640,0
53083214,15527338138,294.0,294.0,291.5,291.5,22033,0
36789994,10772280152,293.0,294.0,291.0,294.0,16906,1
36299468,10782482962,296.0,298.0,295.0,297.5,17064,1
41138923,12025339565,294.5,295.0,291.0,292.0,22345,0
32942223,9568008388,290.5,293.0,288.5,292.0,14585,1
35817481,10609868646,295.0,297.5,293.5,295.5,19524,1
23375959,6932934823,297.0,298.0,295.5,296.5,11244,0
32395568,9575118830,298.5,298.5,293.0,294.0,13208,1
96611181,28172174547,292.0,292.5,290.0,292.0,21037,0
37936214,11205227094,294.0,296.5,293.5,295.5,15502,0
26663587,7908476089,296.0,297.5,296.0,296.5,9743,0
67894337,20354971677,300.0,301.0,298.0,301.0,33062,1
47225322,14414983532,305.0,306.0,304.0,306.0,24482,0
44077262,13655618646,308.5,312.0,308.0,311.5,24096,0
52042921,16500836851,316.0,319.0,315.0,318.0,28581,0
37068082,11746874522,316.5,319.0,314.0,319.0,19981,1
42207259,13566733306,319.0,324.0,318.0,322.5,22670,0
50612255,16340456218,325.5,327.0,318.5,320.5,27061,0
46970918,14811252573,313.0,317.5,312.5,316.0,25263,0
51032404,15955585136,316.0,317.5,308.5,309.5,29255,0
40725216,12823172756,317.0,317.0,314.0,315.0,19377,0
34692968,10922017056,316.5,317.0,313.5,315.0,16218,0
35443474,11123108346,314.5,315.0,313.0,314.5,11897,0
48130280,15102300186,314.0,314.5,312.0,314.5,12915,0
37374616,11722688924,314.5,316.5,312.0,312.0,18836,1
41300084,12981121544,316.0,316.5,312.5,315.0,15959,0
55464024,17641164202,319.0,320.0,316.0,317.5,27086,1
56672892,17695228688,314.0,315.0,310.0,312.0,30558,1
49241860,15386428040,313.5,314.0,311.0,313.0,16165,0
